requirement_id,source_id,locator,topic,requirement_summary,applicability,applicability_rationale,implementation_status,code,test,evidence,owner_phase
"IFRS9-ECL-001","SRC-IFRS9","IFRS 9 5.5.3; 5.5.5","impairment","Mensurar ECL de 12 meses sem SICR e lifetime ECL quando houver SICR.","applicable","Núcleo impairment/ECL definido em docs/SCOPE.md.","implemented","src/ecl/calculation/stage1.py; src/ecl/calculation/stage2.py; src/ecl/calculation/scenario_engine.py; src/ecl/calculation/grouping.py; src/validation/reconciliation/ecl_ledger.py","tests/models/test_stage1_ecl.py; tests/models/test_stage2_ecl.py; tests/models/test_ecl_golden_cases.py; tests/models/test_ecl_grouping.py; tests/models/test_ecl_reconciliation.py","implemented:stage1-12m-stage2-lifetime-individual-collective-reconciled-golden-synthetic-unapproved","Fase 10"
"IFRS9-ECL-002","SRC-IFRS9","IFRS 9 5.5.17","ecl","Mensuração deve refletir valor imparcial ponderado por probabilidade, valor do dinheiro no tempo e informação razoável e suportável.","applicable","Requisito central do motor ECL por período e cenário.","implemented","src/domain/scenarios; src/models/lgd; src/models/ead; src/models/forward_looking; src/ecl/calculation; src/ecl/stage3/cash_shortfall.py; src/ecl/discounting/effective_interest.py; src/ecl/overlays/management.py; src/validation/reconciliation/ecl_ledger.py","tests/models/test_ecl_golden_cases.py; tests/models/test_scenario_ecl.py; tests/models/test_stage1_ecl.py; tests/models/test_stage2_ecl.py; tests/models/test_stage3_ecl.py; tests/models/test_poci_scenarios.py; tests/models/test_ecl_reconciliation.py","implemented:probability-weighted-time-value-forward-looking-reconciled-golden-mechanics-synthetic-unapproved","Fases 7 a 10"
"IFRS9-SICR-001","SRC-IFRS9","IFRS 9 5.5.9; B5.5.1-B5.5.27","sicr","Comparar risco de default na data-base com reconhecimento inicial usando informação razoável e suportável.","applicable","Necessário para transição entre ECL 12 meses e lifetime.","partial","src/models/sicr/origination.py; src/models/sicr/engine.py; src/models/sicr/history.py; src/models/sicr/validation.py","tests/models/test_sicr_origination.py; tests/models/test_sicr_engine.py; tests/models/test_stage_history.py; tests/models/test_sicr_validation.py","partial:complete-synthetic-engine-but-oot-proxy-failed; institutional-calibration-pending","Fase 6"
"IFRS9-DEFAULT-001","SRC-IFRS9","IFRS 9 Appendix A; 5.5; B5.5.37","default","Definir e aplicar consistentemente crédito deteriorado/default com evidência e data-base.","applicable","Base para Stage 3, PD, LGD e write-off.","partial","src/models/pd/default_definition.py; src/models/sicr/stage3.py; src/models/sicr/history.py; config/default_policy/2026.07.1.json","tests/models/test_default_definition.py; tests/models/test_stage3_default.py; tests/models/test_stage_history.py","partial:versioned-default-stage3-contagion-and-cure-history; POCI-pending","Fases 3, 5 e 6"
"IFRS9-FL-001","SRC-IFRS9","IFRS 9 5.5.17(c)","forward-looking","Incorporar informação histórica, atual e prospectiva razoável e suportável sem custo ou esforço indevido.","applicable","Cenários prospectivos integram o escopo ECL.","partial","src/domain/scenarios; src/application/services/scenarios.py; src/models/forward_looking/relations.py; src/ecl/calculation/scenario_engine.py; src/ecl/calculation/sensitivity.py; config/scenario_service/2026.07.1.json; config/macro_risk_relations/2026.07.1.json; config/scenario_sensitivity/2026.07.1.json","tests/application/test_scenario_service.py; tests/models/test_macro_risk_relations.py; tests/models/test_scenario_ecl.py; tests/models/test_scenario_sensitivity_overlays.py","partial:governed-synthetic-scenario-ecl-with-sensitivity-and-stress-not-approved; institutional-calibration-and-approval-pending","Fase 9"
"IFRS9-DISC-001","SRC-IFRS9","IFRS 9 5.5.17(b)","discounting","Descontar cash shortfalls pela taxa apropriada consistente com a taxa efetiva.","applicable","Desconto por EIR é necessário em todos os fluxos de ECL.","implemented","src/ecl/discounting/effective_interest.py; src/ecl/calculation/stage1.py; src/ecl/calculation/stage2.py; src/ecl/stage3/cash_shortfall.py; src/ecl/calculation/poci.py","tests/models/test_stage1_ecl.py; tests/models/test_stage2_ecl.py; tests/models/test_stage3_ecl.py; tests/models/test_ecl_golden_cases.py; tests/models/test_poci_scenarios.py","implemented:original-eir-stage1-stage2-stage3-modification-and-credit-adjusted-poci-discounting-synthetic","Fase 10"
"IFRS9-POCI-001","SRC-IFRS9","IFRS 9 5.5.13-5.5.14","poci","Para ativos POCI reconhecer mudanças acumuladas na lifetime ECL desde o reconhecimento inicial.","applicable","POCI está no perímetro sintético e requer fluxo próprio.","implemented","src/ecl/calculation/poci.py","tests/models/test_poci.py; tests/models/test_poci_scenarios.py; tests/fixtures/golden/poci_cases.csv","implemented:credit-adjusted-eir-scenario-lifetime-change-gain-loss-and-stress-synthetic-unapproved","Fases 3, 6 e 10"
"IFRS9-DISCLOSURE-001","SRC-IFRS9","IFRS 7 35H-35N (relacionado)","disclosure","Produzir reconciliações e divulgações de risco de crédito e provisão por estágio.","applicable","Relatórios sintéticos e auditáveis estão no escopo; IFRS 7 é fonte relacionada a catalogar.","planned","src/application/services","tests/regulatory/test_disclosure_reconciliation.py","planned:disclosure-pack","Fase 13"
"IFRS9-HEDGE-NA","SRC-IFRS9","IFRS 9 chapter 6","hedge accounting","Contabilidade de hedge.","not_applicable","Excluída explicitamente do escopo inicial em docs/SCOPE.md; não é necessária ao núcleo impairment.","not_applicable","","","docs/SCOPE.md#exclusoes-explicitas","N/A"
"CMN4966-STAGE-001","SRC-CMN4966","arts. 37-39","staging","Alocar instrumentos em três estágios, avaliar SICR e revisar a alocação nas datas requeridas.","conditionally_applicable","Aplicável à população/instituição simulada quando no âmbito do art. 1º.","partial","src/domain/staging; config/risk_policy/2026.07.1.json","tests/domain/test_domain_models.py; tests/configuration/test_risk_policy.py","partial:types-and-demonstrative-policy","Fase 8"
